date,ADPT,ASLP,ASTP,AWBT,AWND,PGTM,PRCP,RHAV,RHMN,RHMX,SNOW,SNWD,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT06,WT08
2024-01-01,-11.0,10166.0,10115.0,28.0,1.5,,0.8,63.0,54.0,82.0,0.0,0.0,8.3,1.7,270.0,220.0,4.0,7.2,,,,,
2024-01-02,-61.0,10176.0,10125.0,-6.0,1.8,,0.0,54.0,41.0,69.0,0.0,0.0,5.6,-1.6,300.0,320.0,4.5,7.2,,,,,
2024-01-03,-44.0,10159.0,10108.0,6.0,2.2,,0.0,57.0,49.0,67.0,0.0,0.0,6.1,1.1,300.0,320.0,4.5,6.7,,,,,
2024-01-04,-61.0,10159.0,10112.0,0.0,3.4,,0.0,50.0,38.0,65.0,0.0,0.0,7.2,-2.1,310.0,300.0,8.9,13.4,,,,,
2024-01-05,-100.0,10240.0,10190.0,-33.0,3.2,,0.0,48.0,39.0,55.0,0.0,0.0,2.8,-3.2,300.0,290.0,7.2,10.7,,,,,
2024-01-06,-39.0,10169.0,10135.0,-6.0,3.1,,10.4,69.0,54.0,89.0,5.0,0.0,3.3,-0.5,70.0,60.0,10.3,15.7,1.0,,,,1.0
2024-01-07,-6.0,10054.0,10003.0,17.0,3.4,,6.1,82.0,64.0,93.0,0.0,0.0,3.3,1.1,50.0,70.0,6.7,10.7,1.0,,,,
2024-01-08,-50.0,10261.0,10196.0,11.0,2.3,,0.0,52.0,41.0,65.0,0.0,0.0,7.2,2.2,300.0,20.0,8.1,13.4,,,,,1.0
2024-01-09,28.0,10159.0,10152.0,56.0,2.9,,43.9,76.0,57.0,93.0,0.0,0.0,13.9,2.2,150.0,130.0,10.3,19.2,1.0,,,,
2024-01-10,17.0,9929.0,9854.0,61.0,3.8,,5.6,57.0,41.0,93.0,0.0,0.0,13.9,6.7,240.0,230.0,9.8,16.1,1.0,,,,
2024-01-11,-33.0,10105.0,10041.0,28.0,3.1,,0.0,49.0,44.0,54.0,0.0,0.0,8.3,5.0,240.0,240.0,6.7,10.3,,,,,
2024-01-12,-6.0,10176.0,10115.0,39.0,3.1,,2.0,59.0,39.0,86.0,0.0,0.0,10.0,4.4,80.0,20.0,7.2,14.3,1.0,,,,
2024-01-13,22.0,9953.0,9902.0,67.0,4.3,,20.6,64.0,37.0,93.0,0.0,0.0,15.6,1.7,270.0,280.0,9.4,17.4,1.0,,,,
2024-01-14,-111.0,10125.0,10075.0,-22.0,3.7,,0.0,41.0,21.0,56.0,0.0,0.0,6.7,-3.2,270.0,280.0,11.2,16.5,,,,,
2024-01-15,-144.0,10230.0,10176.0,-61.0,2.3,,1.0,44.0,28.0,85.0,10.0,0.0,-1.6,-4.9,280.0,30.0,5.8,10.7,1.0,,,,
