date,ADPT,ASLP,ASTP,AWBT,AWND,PGTM,PRCP,RHAV,RHMN,RHMX,SNOW,SNWD,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT06,WT08
2024-01-01,-11,10166,10115,28,1.5,,0.8,63,54,82,0,0,8.3,1.7,270,220,4,7.2,,,,,
2024-01-02,-61,10176,10125,-6,1.8,,0,54,41,69,0,0,5.6,-1.6,300,320,4.5,7.2,,,,,
2024-01-03,-44,10159,10108,6,2.2,,0,57,49,67,0,0,6.1,1.1,300,320,4.5,6.7,,,,,
2024-01-04,-61,10159,10112,0,3.4,,0,50,38,65,0,0,7.2,-2.1,310,300,8.9,13.4,,,,,
2024-01-05,-100,10240,10190,-33,3.2,,0,48,39,55,0,0,2.8,-3.2,300,290,7.2,10.7,,,,,
2024-01-06,-39,10169,10135,-6,3.1,,10.4,69,54,89,5,0,3.3,-0.5,70,60,10.3,15.7,1,,,,1
2024-01-07,-6,10054,10003,17,3.4,,6.1,82,64,93,0,0,3.3,1.1,50,70,6.7,10.7,1,,,,
2024-01-08,-50,10261,10196,11,2.3,,0,52,41,65,0,0,7.2,2.2,300,20,8.1,13.4,,,,,1
2024-01-09,28,10159,10152,56,2.9,,43.9,76,57,93,0,0,13.9,2.2,150,130,10.3,19.2,1,,,,
2024-01-10,17,9929,9854,61,3.8,,5.6,57,41,93,0,0,13.9,6.7,240,230,9.8,16.1,1,,,,
2024-01-11,-33,10105,10041,28,3.1,,0,49,44,54,0,0,8.3,5,240,240,6.7,10.3,,,,,
2024-01-12,-6,10176,10115,39,3.1,,2,59,39,86,0,0,10,4.4,80,20,7.2,14.3,1,,,,
2024-01-13,22,9953,9902,67,4.3,,20.6,64,37,93,0,0,15.6,1.7,270,280,9.4,17.4,1,,,,
2024-01-14,-111,10125,10075,-22,3.7,,0,41,21,56,0,0,6.7,-3.2,270,280,11.2,16.5,,,,,
2024-01-15,-144,10230,10176,-61,2.3,,1,44,28,85,10,0,-1.6,-4.9,280,30,5.8,10.7,1,,,,
